IATA_Code,ICAO_Code,Airline_Name,Source
F9,FFT,"Frontier Airlines",IATA
FA,SFR,"Safair",IATA
FB,LZB,"Bulgaria Air",IATA
FC,WBA,,LEGACY
FD,AIQ,,LEGACY
FF,FRF,,LEGACY
FG,AFG,,LEGACY
FH,FHY,"Freebird Airlines",IATA
FI,ICE,"Icelandair",IATA
FJ,FJI,"Fiji Airways",IATA
FK,WTA,,LEGACY
FL,TRS,,LEGACY
FM,CSH,"Shanghai Airlines",IATA
FN,FJW,"Fastjet Zimbabwe",IATA
FO,ATM,,LEGACY
FP,FRE,,LEGACY
FQ,TCW,,LEGACY
FR,RYR,,LEGACY
FS,STU,,LEGACY
FT,SRH,,LEGACY
FU,FZA,"Fuzhou Airlines",IATA
FV,SDM,"Rossiya Airlines",IATA
FW,IBX,,LEGACY
FX,FDX,"FedEx Express",IATA
FY,FFM,,LEGACY
FZ,FDB,"flydubai",IATA
G0,GHB,,LEGACY
G2,VXG,,LEGACY
G3,GLO,"GOL Linhas Aereas",IATA
G4,AAY,,LEGACY
G5,HXA,"China Express Airlines",IATA
G6,GXA,"GlobalX",IATA
G7,GJS,,LEGACY
G8,AGB,,LEGACY
G9,ABY,"Air Arabia",IATA
GA,GIA,"Garuda Indonesia",IATA
GB,ABX,"ABX Air",IATA
GD,AHA,,LEGACY
GE,GBB,"Global Airways and Lift",IATA
GF,GFA,"Gulf Air",IATA
GG,HAH,,LEGACY
GH,GLP,,LEGACY
GI,IKA,,LEGACY
GJ,CDC,"Loong Air",IATA
GL,GRL,"Air Greenland",IATA
GM,GER,,LEGACY
GN,AGN,,LEGACY
GO,KZU,"ULS Airlines Cargo",IATA
GP,RIV,"APG Airlines",IATA
GQ,SEH,"Sky express",IATA
GR,AUR,,LEGACY
GS,GCR,"Tianjin Airlines",IATA
GT,CGH,"Air Guilin",IATA
GV,ARF,,LEGACY
GW,GJT,"GetJet Airlines",IATA
GX,CBG,"GX Airlines",IATA
GY,GBK,,LEGACY
GZ,RAR,,LEGACY
H2,SKU,"SKY Airline",IATA
H3,HLJ,"Hello Jets",IATA
H5,RSY,,LEGACY
H6,HAG,,LEGACY
H8,KHB,,LEGACY
H9,HIM,"Himalaya Airlines",IATA
HA,HAL,"Hawaiian Airlines",IATA
HB,HGB,"Greater Bay Airlines",IATA
HC,SZN,"Air Senegal",IATA
HD,ADO,,LEGACY
HE,LGW,,LEGACY
HF,HLF,,LEGACY
HG,NLY,,LEGACY
HH,AHO,,LEGACY
HJ,AXF,,LEGACY
HM,SEY,"Air Seychelles",IATA
HN,HST,"Heston Airlines",IATA
HO,DKH,"Juneyao Airlines",IATA
HP,APF,"PopulAir",IATA
HR,HHN,"Hahnair",IATA
HT,AHW,,LEGACY
HU,CHH,"Hainan Airlines",IATA
HV,TRA,,LEGACY
HW,FHE,,LEGACY
HX,CRK,"Hong Kong Airlines",IATA
HY,UZB,"Uzbekistan Airways",IATA
HZ,SOZ,,LEGACY
I2,IBS,,LEGACY
I5,IDS,,LEGACY
I6,MXI,,LEGACY
I7,PMW,,LEGACY
I9,AEY,,LEGACY
IA,IAW,,LEGACY
IB,IBE,"IBERIA",IATA
IC,IAC,,LEGACY
ID,BTK,"Batik Air",IATA
IE,SOL,"Solomon Airlines",IATA
IF,FBA,"Fly Baghdad",IATA
IG,ISS,,LEGACY
II,UWW,,LEGACY
IJ,SJO,,LEGACY
IK,ITX,,LEGACY
IN,MAK,,LEGACY
IO,IAA,,LEGACY
IP,JOL,,LEGACY
IQ,QAZ,"Qazaq Air",IATA
IR,IRA,"Iran Air",IATA
IT,TTW,,LEGACY
IV,JET,,LEGACY
IW,AOM,,LEGACY
IX,AXB,"Air India Express",IATA
IY,IYE,,LEGACY
IZ,AIZ,"Arkia Israeli Airlines",IATA
J2,AHY,"Azerbaijan Airlines",IATA
J3,PLR,,LEGACY
J4,BDR,"Badr Airlines",IATA
J6,JEC,"JetSMART Colombia",IATA
J7,ABS,"FlyGabon",IATA
J8,BVT,,LEGACY
J9,JZR,"Jazeera Airways",IATA
JA,JAT,"JetSMART Chile",IATA
JB,JBA,,LEGACY
JC,JEX,,LEGACY
JD,CBJ,"Capital Airlines",IATA
JE,MNO,,LEGACY
JF,JAF,,LEGACY
JG,JDL,"JD Airlines",IATA
JI,MDW,,LEGACY
JJ,TAM,"LATAM Airlines Brasil",IATA
JK,JKK,,LEGACY
JL,JAL,"Japan Airlines",IATA
JM,AJM,,LEGACY
JN,XLA,,LEGACY
